Empresa,Ano,Modelo,Carro/SUV,Titulo,UsadoOuNovo,Transmissao,Motor,TipoDirecao,TipoCombustivel,ConsumoCombustivel,Quilometros,EsquemaCores,CilindrosMotor,TipoCarroceria,Portas,Bancos,Preco
40086.68965517241,2022.0,37295.279766795764,37290.852278119106,37290.85227811911,0,1,32183.678682170543,1,1,8.7,37290.852278119106,37255.1947836396,4,6,4,7,51990.0
29942.61466666667,2022.0,18876.436363636363,22352.144101479913,37290.8522781078,2,1,27953.348285714288,2,7,6.7,53405.15654418191,45416.117230273754,4,3,5,5,19990.0
52144.15468409586,2022.0,37290.85227812081,67318.32684824902,37290.852278119106,2,1,34107.510283687945,4,7,6.6,37290.852278119106,37290.85227812321,4,2,2,4,108988.0
57619.90365448505,2011.0,37290.852278119084,67318.32684824902,37290.852278119106,2,1,37291.088976331375,4,7,11.0,37290.852278119106,37290.85227809132,8,2,2,4,32990.0
33188.68539325843,2022.0,37302.66974579047,36317.082790069246,37290.85227812048,2,1,29638.478666666666,2,8,6.0,37290.852278119106,38685.175749674054,4,6,4,5,34990.0
39096.956537890044,2004.0,20454.31395348837,37290.8522781191,37290.852278119106,2,1,40252.417803302225,3,8,7.663150894460331,37290.852278119106,34981.349783549784,0,0,0,0,9990.0
73696.86382978724,2017.0,73696.86382978724,36317.082790069246,37290.852278119106,2,1,34107.510283687945,1,1,5.1,37290.852278119106,37255.1947836396,4,6,2,4,62280.0
27824.98506876228,2000.0,12040.78787891688,22352.144101479913,37290.852278119106,2,1,22005.086832740213,2,8,8.0,37290.852278119106,21750.639175257733,4,3,5,5,2995.0
39096.956537890044,2013.0,29754.944682032477,67318.32684824902,37290.852278119084,2,1,34107.510283687945,4,7,7.1,37290.852278119106,35832.28363636364,4,2,2,4,24888.0
24745.78151260504,2014.0,14301.342857145006,22352.144101479913,37290.852278119106,2,1,29638.478666666666,2,3,4.5,37290.852278119106,33827.59457917261,4,3,5,5,17900.0
39096.956537890044,2009.0,36069.36809815951,37290.8522773809,37290.85227811903,2,1,40252.417803302225,3,8,7.663150894460331,37290.852278119106,34861.53140200286,0,0,0,0,42500.0
39096.956537890044,2018.0,36069.36809815951,29803.895081967214,37290.85227811901,2,1,24530.266666666666,4,8,9.8,37290.852278119106,29723.93893129771,4,0,4,2,41999.0
39096.956537890044,2016.0,36069.36809815951,29803.895081967214,37290.85215655981,2,1,36517.2035971223,4,1,8.0,37290.852278119106,29723.93893129771,4,0,4,2,27995.0
37527.64441939121,2012.0,29240.340425531915,22352.144101479913,37290.852278119106,2,1,23545.35714285714,2,7,6.2,37290.852278119106,37255.1947836396,4,3,5,5,14999.0
52144.15468409586,2014.0,46166.32467532468,36317.082790069246,37290.852278119106,2,1,34107.510283687945,0,1,5.6,37290.852278119106,45416.117230273754,4,6,4,5,24985.0
28592.73612463486,2013.0,28575.177292576416,37290.85102614454,37290.852278119106,2,2,40252.417803302225,3,0,7.663150894460331,37290.852278119106,23975.745901639344,0,9,0,0,13999.0
52144.15468409586,2011.0,37290.8522781175,22352.144101479913,37290.8522781191,2,1,34107.510283687945,4,1,5.4,37290.852278119106,28165.06850321396,4,3,5,5,13999.0
33206.44540229885,2014.0,10796.477272727272,22352.144101479913,37290.852278119106,2,1,28933.851612903225,2,8,5.4,37290.852278119106,37255.1947836396,3,3,5,5,12400.0
28592.73612463486,2012.0,28575.177292576416,36317.082790069246,37290.852278119106,2,1,28471.982409638553,1,8,7.5,37290.852278119106,45416.117230273754,4,6,4,7,13999.0
33206.44540229885,2013.0,10796.477272727272,22352.144101479913,37290.852278119106,2,1,22005.086832740213,2,8,6.1,37290.852278119106,36711.147121535185,4,3,5,5,11999.0
37527.64441939121,2023.0,41461.58762886598,37290.876682246315,37290.85227811912,1,1,59081.42134831461,1,1,8.4,44365.61041666666,37255.1947836396,6,8,4,5,83887.0
24745.78151260504,2018.0,14301.342857145006,22352.144101479913,37290.85227811908,2,1,27953.348285714288,2,8,5.8,37290.852278119106,33622.928550074736,4,3,5,5,19900.0
26593.936231884058,2012.0,29399.438095238096,36317.082790069246,37290.85227811906,2,1,33942.07789344765,1,7,8.4,37290.852278119106,35832.28363636364,4,6,4,5,17990.0
28592.73612463486,2018.0,37290.831936251976,22352.144101479913,37290.852278119106,2,1,15741.000000002014,2,8,4.7,37290.852278119106,35832.28363636364,3,3,5,5,14995.0
39096.956537890044,2005.0,29240.227272727272,29819.709167544785,37290.852278118735,2,1,28471.982409638553,2,8,9.8,37290.852278119106,24141.22660098522,4,7,4,5,8499.0
26349.247154471544,2011.0,37290.85227798976,29819.709167544785,37290.85227811906,2,1,28471.982409638553,2,8,7.9,37290.852278119106,33622.928550074736,4,7,4,5,12990.0
33206.44540229885,2015.0,14530.895238095238,36317.082790069246,37290.852278119106,2,1,17582.940476190477,4,1,8.2,37290.852278119106,36711.147121535185,6,6,4,7,16999.0
27824.98506876228,2018.0,29863.968627450977,36317.082790069246,37290.85227811785,2,1,34107.510283687945,2,8,6.9,37290.852278119106,33827.59457917261,4,6,4,5,21950.0
37527.64441939121,2013.0,29240.340425531915,22352.144101479913,37290.852278119106,2,2,34107.510283687945,2,7,6.6,37290.852278119106,45416.117230273754,4,3,5,5,24880.0
37527.64441939121,2023.0,35557.56862745098,58180.18474576271,37290.8522781182,1,1,40252.417803302225,2,7,7.663150894460331,44365.61041666666,37255.1947836396,0,9,0,0,35887.0
26349.247154471544,2015.0,30608.39393939394,36317.082790069246,37290.852278119084,2,1,34107.510283687945,2,8,7.9,37290.852278119106,34981.349783549784,4,6,4,5,23888.0
33206.44540229885,2016.0,18595.49411764706,22352.144101479913,37290.85227810517,2,1,27953.348285714288,2,8,6.2,37290.852278119106,37255.1947836396,4,3,5,5,16999.0
27824.98506876228,2019.0,26243.545801526718,36317.082790069246,37290.85227806855,2,1,33942.07789344765,2,8,8.1,37290.852278119106,34981.349783549784,4,6,4,7,24490.0
39096.956537890044,2021.0,26184.554430379747,22352.144101479913,37290.85227811911,2,1,20933.3125,2,3,4.2,37290.852278119106,35832.28363636364,4,3,5,5,44878.0
39096.956537890044,2007.0,22285.2268907563,29819.709167544785,37290.8522781191,2,1,27953.348285714288,2,8,6.7,37290.852278119106,28165.06850321396,4,7,4,5,7949.0
42729.08463949843,2012.0,35226.37113402062,17469.05882354312,37290.852278119106,2,1,40252.417803302225,3,8,7.663150894460331,37290.852278119106,29438.24339250493,0,9,0,0,13999.0
39096.956537890044,2010.0,26184.554430379747,22352.144101479913,37290.852278119106,2,2,20933.3125,2,8,7.7,37290.852278119106,34981.349783549784,4,3,5,5,8800.0
39096.956537890044,2009.0,36069.36809815951,27121.81818181818,37290.85227811903,2,1,40252.417803302225,4,8,7.663150894460331,37290.852278119106,37255.1947836396,0,0,0,0,32900.0
42729.08463949843,2015.0,37290.851926607895,36317.082790069246,37290.852278119106,2,1,28471.982409638553,0,8,9.1,37290.852278119106,35832.28363636364,4,6,4,5,13990.0
39096.956537890044,2003.0,36069.36809815951,29803.895081967214,37290.852278119106,2,1,28471.982409638553,4,8,0.0,37290.852278119106,29723.93893129771,4,0,4,3,9999.0
