Empresa,Ano,Modelo,Carro/SUV,Titulo,UsadoOuNovo,Transmissao,Motor,TipoDirecao,TipoCombustivel,ConsumoCombustivel,Quilometros,EsquemaCores,CilindrosMotor,TipoCarroceria,Portas,Bancos,Preco
64,2022.0,610,508,7647,0,1,32,1,1,8.7,10152,649,4,6,4,7,51990.0
43,2022.0,482,226,7474,2,1,25,2,7,6.7,3685,61,4,3,5,5,19990.0
4,2022.0,60,160,7255,2,1,30,4,7,6.6,12728,409,4,2,2,4,108988.0
48,2011.0,265,160,1729,2,1,96,4,7,11.0,2406,693,8,2,2,4,32990.0
58,2022.0,123,468,7616,2,1,23,2,8,6.0,266,314,4,6,4,5,34990.0
69,2004.0,290,389,358,2,1,0,3,8,7.663150894460331,3703,289,0,0,0,0,9990.0
40,2017.0,616,468,4598,2,1,30,1,1,5.1,11315,649,4,6,2,4,62280.0
51,2000.0,566,226,123,2,1,26,2,8,8.0,7681,468,4,3,5,5,2995.0
69,2013.0,91,160,2662,2,1,30,4,7,7.1,12497,48,4,2,2,4,24888.0
28,2014.0,430,226,2898,2,1,23,2,3,4.5,8521,136,4,3,5,5,17900.0
69,2009.0,401,119,1228,2,1,0,3,8,7.663150894460331,3046,596,0,0,0,0,42500.0
69,2018.0,401,153,5566,2,1,37,4,8,9.8,3856,729,4,0,4,2,41999.0
69,2016.0,401,153,4253,2,1,40,4,1,8.0,6359,729,4,0,4,2,27995.0
70,2012.0,385,226,2254,2,1,24,2,7,6.2,10125,649,4,3,5,5,14999.0
4,2014.0,737,468,2792,2,1,30,0,1,5.6,12550,61,4,6,4,5,24985.0
50,2013.0,549,185,2568,2,2,0,3,0,7.663150894460331,1382,205,0,9,0,0,13999.0
4,2011.0,2,226,1571,2,1,30,4,1,5.4,13627,498,4,3,5,5,13999.0
19,2014.0,318,226,2811,2,1,15,2,8,5.4,12041,649,3,3,5,5,12400.0
50,2012.0,549,468,2123,2,1,34,1,8,7.5,6058,61,4,6,4,7,13999.0
19,2013.0,318,226,2336,2,1,26,2,8,6.1,13865,158,4,3,5,5,11999.0
70,2023.0,122,32,8513,1,1,62,1,1,8.4,3155,649,6,8,4,5,83887.0
28,2018.0,430,226,5138,2,1,25,2,8,5.8,8941,516,4,3,5,5,19900.0
65,2012.0,548,468,2185,2,1,35,1,7,8.4,437,48,4,6,4,5,17990.0
50,2018.0,513,226,5416,2,1,16,2,8,4.7,8399,48,3,3,5,5,14995.0
69,2005.0,199,474,467,2,1,34,2,8,9.8,1105,558,4,7,4,5,8499.0
29,2011.0,411,474,1660,2,1,34,2,8,7.9,5017,516,4,7,4,5,12990.0
19,2015.0,686,468,3334,2,1,59,4,1,8.2,4358,158,6,6,4,7,16999.0
51,2018.0,577,468,5465,2,1,30,2,8,6.9,1006,136,4,6,4,5,21950.0
70,2013.0,385,226,2726,2,2,30,2,7,6.6,11452,61,4,3,5,5,24880.0
70,2023.0,677,364,8544,1,1,0,2,7,7.663150894460331,3155,649,0,9,0,0,35887.0
29,2015.0,700,468,3432,2,1,30,2,8,7.9,13549,289,4,6,4,5,23888.0
19,2016.0,320,226,3861,2,1,25,2,8,6.2,13604,649,4,3,5,5,16999.0
51,2019.0,732,468,6052,2,1,35,2,8,8.1,13978,289,4,6,4,7,24490.0
69,2021.0,231,226,7126,2,1,28,2,3,4.2,2437,48,4,3,5,5,44878.0
69,2007.0,758,474,816,2,1,25,2,8,6.7,7134,498,4,7,4,5,7949.0
36,2012.0,387,360,2038,2,1,0,3,8,7.663150894460331,6207,430,0,9,0,0,13999.0
69,2010.0,231,226,1508,2,2,28,2,8,7.7,6588,289,4,3,5,5,8800.0
69,2009.0,401,381,1228,2,1,0,4,8,7.663150894460331,12036,649,0,0,0,0,32900.0
36,2015.0,559,468,3470,2,1,34,0,8,9.1,2662,48,4,6,4,5,13990.0
69,2003.0,401,153,265,2,1,34,4,8,0.0,7170,729,4,0,4,3,9999.0
71,2013.0,628,474,2745,2,1,26,2,7,7.4,2665,136,4,7,4,5,14999.0
50,2016.0,698,569,4163,2,1,34,0,1,7.6,6640,596,4,8,4,5,22750.0
48,2010.0,261,160,1430,2,1,28,4,7,7.9,85,132,4,2,2,4,21950.0
48,2013.0,99,226,2520,2,1,30,2,7,6.6,1205,596,4,3,5,5,19999.0
69,2012.0,91,160,2194,2,2,30,4,7,7.8,4572,516,4,2,2,4,19900.0
46,2022.0,187,468,7515,2,1,35,1,8,7.5,448,61,4,6,4,5,37990.0
69,2010.0,231,226,1507,2,1,28,2,8,7.7,4037,430,4,3,5,5,12990.0
19,2013.0,316,474,2331,2,1,71,4,8,9.9,3853,158,6,7,4,5,16999.0
0,2021.0,76,226,6740,2,2,24,2,7,6.0,2148,61,4,3,3,4,36990.0
28,2014.0,181,468,2890,2,1,34,0,8,8.7,242,663,4,6,4,5,23880.0
69,2007.0,231,474,793,2,1,28,2,8,7.4,4536,498,4,7,4,5,10990.0
69,2016.0,401,411,4250,2,1,37,4,8,10.9,1359,516,4,5,3,14,44900.0
29,2012.0,408,226,2009,2,1,28,2,8,6.9,1758,66,4,3,5,5,15880.0
46,2013.0,78,474,2504,2,1,35,2,8,6.6,3843,314,4,7,4,5,16995.0
69,2008.0,442,468,1020,2,1,67,2,8,11.0,2189,158,6,6,4,7,19880.0
29,2018.0,644,468,5170,2,1,32,1,1,7.8,11659,649,4,6,4,7,43999.0
4,2012.0,737,468,1906,2,1,30,0,1,5.6,678,48,4,6,4,5,18888.0
27,2016.0,207,157,3892,2,1,26,2,7,7.5,11119,527,4,1,2,4,24995.0
48,2006.0,486,468,564,2,1,62,0,1,9.6,5830,498,6,6,4,5,9998.0
50,2009.0,457,474,1155,2,1,30,2,8,8.2,3844,430,4,7,4,5,9990.0
3,2014.0,104,160,2758,2,1,30,1,7,6.7,12509,649,4,2,2,4,27380.0
37,2018.0,588,226,5226,2,1,15,2,8,5.4,8851,440,3,3,5,5,24999.0
36,2015.0,214,468,3460,2,1,64,0,8,10.0,12844,444,6,6,4,5,17999.0
70,2011.0,687,468,1874,2,1,30,1,7,8.8,1288,48,4,6,4,5,12990.0
50,2012.0,110,468,2116,2,1,30,2,8,7.9,4927,136,4,6,4,5,13990.0
4,2016.0,20,157,3821,2,1,30,4,7,6.4,1262,314,4,1,2,4,28990.0
29,2022.0,700,468,7371,2,1,30,2,8,8.1,5389,596,4,6,4,5,36800.0
46,2011.0,26,474,1704,2,1,30,2,8,8.2,12917,371,4,7,4,5,13999.0
70,2023.0,687,32,8560,1,1,30,1,7,8.9,3155,126,4,6,4,7,56887.0
29,2014.0,423,586,2930,2,1,35,4,1,9.0,4787,730,4,9,4,8,19888.0
69,2014.0,758,226,3196,2,1,23,2,8,6.3,5105,274,4,3,5,5,8995.0
69,2016.0,442,468,4266,2,1,67,2,8,10.4,2588,314,6,6,4,7,31900.0
50,2013.0,457,474,2561,2,1,30,2,8,7.2,3951,314,4,7,4,5,14995.0
65,2016.0,754,468,4225,2,1,30,1,8,7.1,375,314,4,6,4,5,22990.0
49,2017.0,229,226,4708,2,1,30,2,7,5.5,11734,791,4,3,5,5,31990.0
53,2015.0,33,360,3649,2,1,0,3,8,7.663150894460331,4039,596,0,3,0,0,12999.0
27,2010.0,225,569,1347,2,2,99,4,8,14.5,4143,48,8,8,2,2,25999.0
29,2015.0,406,226,3409,2,1,24,2,8,5.9,831,558,4,3,5,5,13990.0
46,2018.0,142,569,5325,2,1,52,4,1,9.3,13809,729,5,8,4,5,30990.0
46,2009.0,26,474,1132,2,1,30,2,8,8.2,4565,48,4,7,4,5,8499.0
29,2011.0,406,226,1651,2,1,24,2,8,6.4,4964,136,4,3,5,5,10995.0
28,2015.0,721,553,3404,2,1,0,3,8,7.663150894460331,11617,289,0,9,0,0,24888.0
46,2010.0,189,468,1419,2,1,33,1,8,11.5,3308,109,4,6,4,5,11669.0
36,2017.0,609,468,4549,2,1,24,2,7,5.9,11455,314,4,6,4,5,24950.0
46,2013.0,78,474,2503,2,1,35,2,8,6.6,1672,596,4,7,4,5,16990.0
51,2009.0,284,524,1167,2,1,0,4,8,7.663150894460331,236,693,0,9,0,0,19995.0
37,2013.0,387,586,2466,2,1,67,2,8,10.9,13914,596,6,9,4,8,13995.0
50,2015.0,457,474,3583,2,1,30,2,8,7.2,10747,314,4,7,4,5,17995.0
65,2018.0,424,226,5512,2,1,30,1,8,6.6,10715,289,4,3,5,5,22990.0
46,2014.0,26,226,3005,2,1,30,2,8,8.2,2176,441,4,3,5,5,16999.0
4,2021.0,739,468,6774,2,1,30,1,8,7.3,7841,289,4,6,5,5,79988.0
46,2010.0,189,468,1419,2,1,33,1,8,11.5,4408,430,4,6,4,5,12800.0
