Empresa,Ano,Modelo,Carro/SUV,Titulo,UsadoOuNovo,Transmissao,Motor,TipoDirecao,TipoCombustivel,ConsumoCombustivel,Quilometros,EsquemaCores,CilindrosMotor,TipoCarroceria,Portas,Bancos,Preco
Ssangyong,2022.0,Rexton,Sutherland Isuzu Ute,2022 Ssangyong Rexton Ultimate (awd),DEMO,Automatic,"4 cyl, 2.2 L",AWD,Diesel,8.7,5595,White / Black,4,SUV,4,7,51990.0
MG,2022.0,MG3,Hatchback,2022 MG MG3 Auto Excite (with Navigation),USED,Automatic,"4 cyl, 1.5 L",Front,Premium,6.7,16,Black / Black,4,Hatchback,5,5,19990.0
BMW,2022.0,430I,Coupe,2022 BMW 430I M Sport,USED,Automatic,"4 cyl, 2 L",Rear,Premium,6.6,8472,Grey / White,4,Coupe,2,4,108988.0
Mercedes-Benz,2011.0,E500,Coupe,2011 Mercedes-Benz E500 Elegance,USED,Automatic,"8 cyl, 5.5 L",Rear,Premium,11.0,136517,White / Brown,8,Coupe,2,4,32990.0
Renault,2022.0,Arkana,SUV,2022 Renault Arkana Intens,USED,Automatic,"4 cyl, 1.3 L",Front,Unleaded,6.0,1035,Grey / Black,4,SUV,4,5,34990.0
Toyota,2004.0,Estima,ON FOUR WHEELS,2004 Toyota Estima T EDITION,USED,Automatic,-,Other,Unleaded,7.663150894460331,160230,Grey / -,0,Commercial,0,0,9990.0
Land,2017.0,Rover,SUV,2017 Land Rover Range Rover Evoque TD4 180 HSE Dynamic,USED,Automatic,"4 cyl, 2 L",AWD,Diesel,5.1,67662,White / Black,4,SUV,2,4,62280.0
Nissan,2000.0,Pulsar,Hatchback,2000 Nissan Pulsar LX,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,8.0,300539,Red / Grey,4,Hatchback,5,5,2995.0
Toyota,2013.0,86,Coupe,2013 Toyota 86 GT,USED,Automatic,"4 cyl, 2 L",Rear,Premium,7.1,82012,Black / -,4,Coupe,2,4,24888.0
Honda,2014.0,Jazz,Hatchback,2014 Honda Jazz Hybrid,USED,Automatic,"4 cyl, 1.3 L",Front,Hybrid,4.5,38229,Blue / -,4,Hatchback,5,5,17900.0
Toyota,2009.0,HiAce,Carbarn,2009 Toyota HiAce (No Badge),USED,Automatic,-,Other,Unleaded,7.663150894460331,148190,White / -,0,Commercial,0,0,42500.0
Toyota,2018.0,HiAce,Commercial,2018 Toyota HiAce LWB,USED,Automatic,"4 cyl, 2.7 L",Rear,Unleaded,9.8,16324,White / Grey,4,Commercial,4,2,41999.0
Toyota,2016.0,HiAce,Commercial,2016 Toyota HiAce LWB,USED,Automatic,"4 cyl, 3 L",Rear,Diesel,8.0,229829,White / Grey,4,Commercial,4,2,27995.0
Volkswagen,2012.0,Golf,Hatchback,2012 Volkswagen Golf 90 TSI Trendline,USED,Automatic,"4 cyl, 1.4 L",Front,Premium,6.2,55676,White / Black,4,Hatchback,5,5,14999.0
BMW,2014.0,X3,SUV,2014 BMW X3 Xdrive 20D,USED,Automatic,"4 cyl, 2 L",4WD,Diesel,5.6,82624,Black / Black,4,SUV,4,5,24985.0
Mitsubishi,2013.0,Outlander,Exclusive Autohaus,2013 Mitsubishi Outlander ES,USED,Manual,-,Other,-,7.663150894460331,120020,Blue / Grey,0,Wagon,0,0,13999.0
BMW,2011.0,118D,Hatchback,2011 BMW 118D,USED,Automatic,"4 cyl, 2 L",Rear,Diesel,5.4,95204,Silver / -,4,Hatchback,5,5,13999.0
Ford,2014.0,Fiesta,Hatchback,2014 Ford Fiesta Sport,USED,Automatic,"3 cyl, 1 L",Front,Unleaded,5.4,76289,White / Black,3,Hatchback,5,5,12400.0
Mitsubishi,2012.0,Outlander,SUV,2012 Mitsubishi Outlander LS (4X4),USED,Automatic,"4 cyl, 2.4 L",AWD,Unleaded,7.5,219681,Black / Black,4,SUV,4,7,13999.0
Ford,2013.0,Fiesta,Hatchback,2013 Ford Fiesta Zetec,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,6.1,98079,Blue / Black,4,Hatchback,5,5,11999.0
Volkswagen,2023.0,Amarok,Alto Volkswagen New Cars,2023 Volkswagen Amarok Style TDI600 4Motion,NEW,Automatic,"6 cyl, 3 L",AWD,Diesel,8.4,15,White / Black,6,Ute / Tray,4,5,83887.0
Honda,2018.0,Jazz,Hatchback,2018 Honda Jazz VTI,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,5.8,43274,Silver / Black,4,Hatchback,5,5,19900.0
