iter	RMSE
0	14106.09862
1	12929.83814
2	11888.07625
3	10995.83659
4	10086.35422
5	9354.566923
6	8762.313565
7	8126.198708
8	7517.753513
9	7033.885696
10	6594.371742
11	6100.581047
12	5632.929921
13	5350.61998
14	5053.979409
15	4712.843959
16	4382.592388
17	4107.605524
18	3902.475443
19	3694.051824
20	3502.183937
21	3295.131512
22	3126.222004
23	2999.608484
24	2946.450566
25	2822.794426
26	2714.383449
27	2617.477804
28	2581.082978
29	2463.9024
30	2419.552245
31	2348.153288
32	2327.926333
33	2273.83244
34	2212.555578
35	2141.153474
36	2099.984938
37	2040.880253
38	1989.273716
39	1931.013329
40	1924.845321
41	1903.967693
42	1890.696287
43	1856.266229
44	1823.583138
45	1808.658508
46	1779.947326
47	1746.356519
48	1695.399272
49	1683.657719
50	1675.016281
51	1646.535532
52	1632.619501
53	1622.03643
54	1618.271484
55	1607.395032
56	1575.744467
57	1530.224969
58	1522.188152
59	1501.099408
60	1497.58253
61	1490.248481
62	1469.783551
63	1453.169726
64	1449.375441
65	1440.101706
66	1414.801847
67	1382.212946
68	1372.548588
69	1368.651254
70	1334.519462
71	1304.691912
72	1282.202851
73	1260.841115
74	1255.096137
75	1237.07959
76	1214.950573
77	1193.962474
78	1171.099861
79	1150.148459
80	1138.066368
81	1120.198236
82	1098.546311
83	1084.874757
84	1072.123561
85	1065.254977
86	1049.632481
87	1035.13016
88	1013.434892
89	1007.532857
90	994.5945891
91	980.9973383
92	963.0513469
93	958.2509563
94	947.6418976
95	932.607421
96	917.4561075
97	912.4451956
98	905.3018828
99	891.2981931
