iter	Passed	Remaining
0	1	173
1	3	148
2	3	129
3	4	118
4	6	121
5	7	116
6	8	112
7	9	107
8	10	103
9	11	101
10	12	102
11	13	100
12	14	99
13	15	96
14	16	94
15	17	92
16	18	92
17	20	92
18	21	89
19	22	88
20	22	86
21	24	86
22	25	85
23	26	84
24	27	82
25	28	80
26	29	79
27	30	78
28	31	77
29	32	76
30	33	74
31	34	73
32	35	72
33	36	71
34	37	70
35	38	69
36	39	67
37	40	66
38	45	71
39	46	69
40	47	68
41	48	67
42	50	66
43	51	65
44	51	63
45	52	62
46	53	60
47	55	59
48	56	58
49	57	57
50	57	55
51	59	54
52	60	53
53	61	52
54	62	50
55	63	49
56	64	48
57	65	47
58	66	46
59	67	44
60	68	43
61	69	42
62	70	41
63	71	40
64	72	39
65	74	38
66	75	37
67	77	36
68	79	35
69	81	34
70	82	33
71	84	32
72	85	31
73	87	30
74	88	29
75	90	28
76	92	27
77	93	26
78	94	25
79	96	24
80	98	23
81	99	21
82	100	20
83	102	19
84	103	18
85	104	17
86	106	15
87	108	14
88	109	13
89	110	12
90	112	11
91	114	9
92	115	8
93	116	7
94	117	6
95	119	4
96	120	3
97	121	2
98	122	1
99	124	0
